cliente_id,mes,transacciones,volumen,bultos,productos_unicos,marcas_unicas,mix_latas,mix_retornable,mix_premium,bultos_por_transaccion
183637,2023-08,8,2.24,37.0,16,9,12.64,76.13,11.23,4.63
183637,2023-09,8,1.72,27.0,12,8,14.65,80.74,9.57,3.38
183637,2023-10,6,1.4,18.0,6,5,4.05,92.82,3.13,3.0
184485,2022-11,3,3.36,36.0,14,7,4.0,89.65,2.54,12.0
184485,2022-12,5,4.04,45.0,15,8,5.8,89.98,9.38,9.0
184485,2023-01,5,2.92,30.0,9,6,0.84,91.87,4.85,6.0
184485,2023-02,4,3.51,35.0,10,7,2.86,94.71,9.0,8.75
184485,2023-03,1,0.48,4.0,2,2,0.0,100.0,0.0,4.0
184485,2023-04,2,3.12,26.67,3,2,0.0,100.0,0.0,13.33
184485,2023-05,2,0.23,2.0,2,1,48.61,51.39,0.0,1.0
184485,2023-06,5,1.59,17.0,8,5,14.05,85.95,14.71,3.4
184485,2023-07,2,0.97,9.0,4,3,0.0,91.2,8.8,4.5
184485,2023-08,1,0.24,2.0,2,2,0.0,100.0,0.0,2.0
184485,2023-09,2,0.72,7.0,4,2,0.0,100.0,0.0,3.5
184485,2023-10,1,0.42,3.5,1,1,0.0,100.0,0.0,3.5
184495,2022-11,2,4.01,35.0,5,4,1.42,98.58,8.76,17.5
184495,2022-12,2,4.47,39.0,4,4,0.85,99.15,5.23,19.5
184495,2023-01,1,3.4,29.0,4,3,22.45,77.55,0.0,29.0
184495,2023-03,3,2.16,20.0,9,6,31.53,68.47,16.25,6.67
184495,2023-05,1,0.97,10.0,3,3,0.0,100.0,0.0,10.0
184495,2023-06,2,5.98,53.0,8,5,0.0,100.0,0.0,26.5
184495,2023-07,2,2.64,26.0,6,4,18.26,81.74,1.07,13.0
184495,2023-08,3,3.14,28.0,7,4,19.88,80.12,7.34,9.33
184495,2023-09,1,3.28,29.0,7,5,0.0,100.0,10.7,29.0
184495,2023-10,1,2.86,30.0,7,4,7.93,92.07,6.07,30.0
185831,2022-11,4,2.54,22.0,5,2,71.61,28.39,0.0,5.5
185831,2022-12,4,1.12,11.0,5,5,3.87,96.13,2.19,2.75
185831,2023-01,2,0.47,13.0,10,5,64.95,0.0,63.69,6.5
185831,2023-03,5,5.23,48.0,11,6,72.36,27.64,9.41,9.6
185831,2023-04,2,1.08,9.0,4,4,0.0,100.0,0.0,4.5
185831,2023-05,1,0.71,6.0,4,4,15.98,84.02,16.47,6.0
185831,2023-06,2,1.07,21.0,14,6,40.0,56.02,18.8,10.5
185831,2023-07,3,0.62,10.0,8,7,61.54,38.46,8.49,3.33
185831,2023-08,3,1.98,17.0,5,3,51.56,48.44,0.0,5.67
185831,2023-09,4,2.29,22.0,9,6,45.86,52.41,2.97,5.5
185831,2023-10,1,0.43,6.0,6,5,39.59,55.8,17.8,6.0
186381,2022-11,2,0.27,10.0,2,2,100.0,0.0,0.0,5.0
186381,2022-12,3,0.69,10.0,4,4,100.0,0.0,20.66,3.33
186381,2023-02,1,0.02,1.0,1,1,100.0,0.0,0.0,1.0
186381,2023-03,2,0.19,4.0,2,2,100.0,0.0,0.0,2.0
186381,2023-04,1,0.08,3.0,2,2,100.0,0.0,30.24,3.0
186381,2023-05,1,0.06,2.0,1,1,100.0,0.0,0.0,2.0
186381,2023-06,1,0.06,2.0,1,1,100.0,0.0,0.0,2.0
186381,2023-07,2,0.11,4.0,3,2,100.0,0.0,25.0,2.0
186381,2023-09,2,0.09,3.0,1,1,100.0,0.0,0.0,1.5
186381,2023-10,2,0.09,3.0,1,1,100.0,0.0,0.0,1.5
186637,2022-11,2,0.14,5.0,2,2,100.0,0.0,60.0,2.5
186637,2022-12,2,0.28,4.0,3,3,15.35,84.65,8.68,2.0
186637,2023-01,3,0.71,7.0,3,2,3.48,96.52,0.0,2.33
186637,2023-02,1,0.38,5.0,4,4,37.16,62.84,0.0,5.0
186637,2023-03,1,0.15,2.0,2,1,19.13,80.87,0.0,2.0
186637,2023-04,1,0.28,2.33,1,1,0.0,100.0,0.0,2.33
186637,2023-06,1,0.24,2.0,2,2,0.0,100.0,0.0,2.0
186637,2023-07,1,0.11,4.0,2,2,100.0,0.0,0.0,4.0
186637,2023-08,2,0.42,6.0,2,2,0.0,85.84,14.16,3.0
186637,2023-09,2,0.3,4.0,2,2,19.13,80.87,0.0,2.0
186637,2023-10,1,0.12,1.0,1,1,0.0,100.0,0.0,1.0
186667,2022-11,1,0.36,3.0,2,2,0.0,100.0,0.0,3.0
186667,2022-12,1,0.6,5.0,2,2,0.0,100.0,0.0,5.0
186667,2023-01,2,0.83,7.0,3,2,27.45,72.55,0.0,3.5
186667,2023-02,1,0.36,3.0,2,2,0.0,100.0,0.0,3.0
186667,2023-03,1,0.26,2.17,2,2,0.0,100.0,0.0,2.17
186667,2023-05,3,0.93,11.0,6,5,48.61,51.39,0.0,3.67
186667,2023-08,2,0.28,4.0,3,2,100.0,0.0,0.0,2.0
186667,2023-09,2,0.77,8.0,5,4,7.34,92.66,15.12,4.0
186667,2023-10,1,0.35,5.17,5,3,24.67,75.33,0.0,5.17
192055,2022-11,4,0.63,11.0,6,4,67.48,19.02,27.0,2.75
192055,2022-12,7,2.85,27.0,8,5,17.13,79.88,8.82,3.86
192055,2023-01,1,0.24,2.0,1,1,0.0,100.0,0.0,2.0
192055,2023-02,5,1.07,9.0,4,3,10.6,89.4,10.93,1.8
192055,2023-03,4,0.58,8.0,5,4,17.55,82.45,9.1,2.0
192055,2023-04,1,0.15,2.0,2,2,19.13,80.87,0.0,2.0
192055,2023-05,3,0.54,6.0,3,3,10.57,89.43,0.0,2.0
192055,2023-08,2,0.29,7.0,3,3,58.66,41.34,0.0,3.5
192055,2023-09,4,0.53,9.0,5,4,32.29,67.71,22.19,2.25
192055,2023-10,6,0.72,11.0,4,3,54.99,33.22,27.5,1.83
196465,2022-11,2,0.47,6.25,5,4,42.39,57.61,6.06,3.13
196465,2022-12,3,0.7,7.0,5,5,3.5,96.5,20.14,2.33
196465,2023-01,4,1.14,13.0,6,5,29.9,70.1,10.27,3.25
196465,2023-02,2,0.49,9.0,4,4,50.61,49.39,0.0,4.5
196465,2023-03,2,0.28,3.0,3,3,41.02,58.98,0.0,1.5
196465,2023-04,1,0.12,5.0,5,5,100.0,0.0,20.31,5.0
196465,2023-05,2,0.23,7.0,5,4,64.97,35.03,0.0,3.5
196465,2023-06,2,0.15,6.0,4,4,100.0,0.0,37.5,3.0
196465,2023-07,2,0.33,10.0,5,4,64.05,35.95,15.87,5.0
196465,2023-08,4,0.57,20.08,5,3,62.95,37.05,4.97,5.02
196465,2023-09,3,1.22,11.0,5,4,83.52,16.48,0.0,3.67
196465,2023-10,1,0.08,1.0,1,1,0.0,100.0,0.0,1.0
199337,2022-11,1,1.83,17.0,5,3,49.5,50.5,0.0,17.0
199337,2022-12,2,1.21,22.0,3,3,30.52,69.48,0.0,11.0
199337,2023-01,1,0.7,8.0,5,5,8.11,91.89,8.11,8.0
199337,2023-02,3,1.53,19.0,5,3,52.77,47.23,0.0,6.33
199337,2023-03,4,2.28,20.0,5,4,4.98,95.02,0.0,5.0
199337,2023-04,2,1.25,10.42,2,2,0.0,100.0,0.0,5.21
199337,2023-05,1,0.6,5.0,1,1,0.0,100.0,0.0,5.0
199337,2023-06,1,0.56,5.0,3,3,20.45,79.55,0.0,5.0
199337,2023-07,1,1.37,17.0,5,3,56.08,43.92,0.0,17.0
199337,2023-08,1,0.39,3.25,2,2,0.0,100.0,0.0,3.25
199337,2023-09,1,0.42,3.5,1,1,0.0,100.0,0.0,3.5
199337,2023-10,2,2.98,29.67,9,4,24.78,75.22,0.0,14.83
202975,2022-12,1,0.8,13.0,4,4,24.7,75.3,0.0,13.0
202975,2023-01,3,2.52,21.0,3,3,0.0,100.0,0.0,7.0
202975,2023-02,2,2.13,25.0,5,3,55.03,44.97,0.0,12.5
202975,2023-03,1,0.09,3.0,2,2,100.0,0.0,0.0,3.0
202975,2023-04,2,0.57,8.0,5,4,15.35,84.65,4.34,4.0
202975,2023-05,1,0.59,8.0,4,2,19.13,80.87,0.0,8.0
202975,2023-07,2,1.3,11.0,6,5,26.19,73.81,0.0,5.5
202975,2023-08,2,1.17,10.0,4,4,38.68,61.32,0.0,5.0
202975,2023-09,2,1.08,9.0,2,2,0.0,100.0,0.0,4.5
202975,2023-10,2,1.2,10.0,4,3,0.0,100.0,0.0,5.0
203693,2022-11,7,2.21,27.0,7,5,34.73,65.27,1.29,3.86
203693,2022-12,4,1.19,10.0,3,2,19.13,80.87,0.0,2.5
203693,2023-01,6,1.53,18.0,10,6,10.66,86.47,7.95,3.0
203693,2023-02,4,1.47,14.0,7,4,18.65,81.35,7.95,3.5
203693,2023-03,6,2.03,21.0,8,6,8.88,86.92,6.63,3.5
203693,2023-04,4,1.44,13.5,6,5,3.95,96.05,1.98,3.38
203693,2023-05,4,0.81,11.0,7,5,45.06,44.42,28.36,2.75
203693,2023-06,4,0.79,8.0,5,4,3.6,90.85,20.38,2.0
203693,2023-07,3,1.1,13.0,6,4,12.88,87.12,0.0,4.33
203693,2023-08,5,1.55,18.0,9,5,45.65,54.35,0.0,3.6
203693,2023-09,6,1.58,23.0,11,6,26.87,73.13,10.97,3.83
203693,2023-10,3,0.43,7.0,6,4,19.08,56.29,30.4,2.33
203797,2022-11,2,1.17,15.0,3,1,14.51,85.49,0.0,7.5
203797,2022-12,4,1.41,15.0,5,4,14.61,85.39,1.15,3.75
203797,2023-01,1,0.36,3.0,1,1,0.0,100.0,0.0,3.0
203797,2023-02,3,0.71,6.0,2,1,15.91,84.09,0.0,2.0
203797,2023-03,2,0.83,7.0,3,2,13.62,86.38,0.0,3.5
203797,2023-04,1,0.36,3.0,2,2,0.0,100.0,0.0,3.0
203797,2023-05,1,0.36,3.0,1,1,0.0,100.0,0.0,3.0
203797,2023-08,1,0.31,4.17,3,2,16.93,83.07,7.86,4.17
203797,2023-09,2,0.68,8.0,3,2,11.94,88.06,3.61,4.0
203797,2023-10,2,0.84,7.0,1,1,0.0,100.0,0.0,3.5
206767,2022-11,2,0.41,5.0,3,2,13.82,86.18,70.79,2.5
206767,2022-12,1,0.15,3.0,2,1,21.62,78.38,100.0,3.0
206767,2023-02,2,0.41,5.0,4,2,13.92,86.08,93.04,2.5
206767,2023-03,1,0.17,3.0,2,1,32.67,67.33,100.0,3.0
206767,2023-04,2,0.39,4.0,3,3,7.36,92.64,30.36,2.0
206767,2023-07,1,0.12,1.0,1,1,0.0,100.0,100.0,1.0
206767,2023-08,1,0.13,1.08,2,2,0.0,100.0,92.13,1.08
206767,2023-09,1,0.12,1.0,1,1,0.0,100.0,100.0,1.0
218421,2022-11,3,1.59,20.0,11,5,44.43,55.57,9.13,6.67
218421,2022-12,2,1.81,30.0,17,7,49.11,50.89,21.99,15.0
218421,2023-01,3,0.63,10.0,7,6,48.28,51.72,27.29,3.33
218421,2023-02,3,1.03,17.0,9,4,53.16,46.84,30.51,5.67
218421,2023-03,2,0.76,13.0,9,7,100.0,0.0,29.0,6.5
218421,2023-04,4,0.96,11.0,9,5,37.27,62.73,32.71,2.75
218421,2023-05,2,0.45,7.0,6,4,63.49,36.51,59.26,3.5
218421,2023-06,2,1.28,18.0,14,8,50.09,49.91,36.26,9.0
218421,2023-07,2,0.31,6.0,5,5,20.32,79.68,0.0,3.0
218421,2023-08,3,1.56,17.0,14,8,41.0,59.0,23.86,5.67
218421,2023-09,2,0.19,3.0,2,2,14.81,85.19,0.0,1.5
218421,2023-10,2,0.81,11.0,10,8,69.87,30.13,17.47,5.5
222453,2023-06,1,0.03,1.0,1,1,100.0,0.0,0.0,1.0
222453,2023-09,2,0.23,4.17,2,1,37.82,62.18,0.0,2.08
222453,2023-10,1,0.27,3.0,2,1,10.57,89.43,0.0,3.0
223179,2022-11,2,0.71,6.0,2,1,15.91,84.09,0.0,3.0
223179,2022-12,2,0.59,6.0,3,2,4.81,95.19,4.81,3.0
223179,2023-03,1,0.39,3.25,1,1,0.0,100.0,0.0,3.25
223179,2023-05,1,0.26,2.17,2,2,0.0,100.0,7.69,2.17
223179,2023-06,1,0.05,2.0,2,2,100.0,0.0,0.0,2.0
223179,2023-07,1,0.15,2.0,2,1,19.13,80.87,0.0,2.0
223179,2023-09,2,0.36,3.0,2,1,0.0,100.0,0.0,1.5
223179,2023-10,1,0.22,6.0,3,2,63.49,36.51,0.0,6.0
223181,2022-11,5,1.09,15.0,10,4,23.03,76.97,13.29,3.0
223181,2022-12,6,0.88,13.0,7,3,45.04,54.96,25.74,2.17
223181,2023-01,5,0.2,5.0,3,3,58.18,41.82,14.54,1.0
223181,2023-02,2,0.2,2.0,2,1,0.0,100.0,0.0,1.0
223181,2023-03,5,0.43,8.0,5,3,33.38,66.62,0.0,1.6
223181,2023-04,2,0.2,2.0,2,1,0.0,100.0,0.0,1.0
223181,2023-05,2,0.23,2.0,2,1,48.61,51.39,0.0,1.0
223181,2023-06,2,0.19,3.0,3,2,14.81,85.19,0.0,1.5
223181,2023-07,3,0.32,3.0,2,2,0.0,100.0,0.0,1.0
223181,2023-08,2,0.19,3.0,3,2,14.81,85.19,0.0,1.5
223181,2023-09,2,0.15,2.0,2,1,19.13,80.87,0.0,1.0
223181,2023-10,4,0.56,5.0,4,2,20.45,79.55,0.0,1.25
226191,2023-01,1,0.05,2.0,2,2,100.0,0.0,50.0,2.0
226191,2023-02,1,0.12,5.0,1,1,100.0,0.0,0.0,5.0
226191,2023-03,1,0.02,1.0,1,1,100.0,0.0,0.0,1.0
226191,2023-06,1,0.09,3.0,2,2,100.0,0.0,0.0,3.0
226191,2023-07,1,0.24,2.0,1,1,0.0,100.0,0.0,2.0
226191,2023-08,1,0.03,1.0,1,1,100.0,0.0,0.0,1.0
226191,2023-09,1,0.35,6.0,4,3,31.38,68.62,8.11,6.0
229283,2022-12,1,0.48,4.0,1,1,0.0,100.0,0.0,4.0
229283,2023-03,1,0.72,6.0,2,2,0.0,100.0,0.0,6.0
229283,2023-05,1,0.72,6.0,2,2,0.0,100.0,0.0,6.0
229283,2023-06,1,0.08,3.0,3,3,100.0,0.0,37.5,3.0
229283,2023-07,1,0.24,2.0,1,1,0.0,100.0,0.0,2.0
229283,2023-08,1,0.28,3.08,2,2,10.19,89.81,0.0,3.08
229283,2023-09,2,0.35,6.0,5,5,31.38,68.62,15.15,3.0
229283,2023-10,2,0.38,3.17,2,1,0.0,100.0,0.0,1.58
230077,2022-11,1,0.41,5.0,1,1,0.0,100.0,0.0,5.0
230077,2022-12,2,2.4,20.0,1,1,0.0,100.0,0.0,10.0
230077,2023-01,2,0.96,8.0,1,1,0.0,100.0,0.0,4.0
230077,2023-02,1,0.36,3.0,1,1,0.0,100.0,0.0,3.0
230077,2023-04,1,0.48,4.0,2,2,0.0,100.0,0.0,4.0
230077,2023-05,1,0.11,1.0,1,1,100.0,0.0,0.0,1.0
230077,2023-06,2,0.32,3.0,2,2,0.0,100.0,0.0,1.5
230077,2023-07,5,3.73,33.0,3,2,0.0,100.0,0.0,6.6
230077,2023-08,3,2.06,18.92,4,2,1.38,98.62,0.0,6.31
230077,2023-09,4,1.91,18.25,4,4,4.26,95.74,1.29,4.56
230077,2023-10,2,1.3,10.83,2,2,0.0,100.0,0.0,5.42
231769,2022-11,2,2.6,22.0,4,3,12.53,87.47,21.68,11.0
231769,2022-12,1,0.58,5.0,2,1,39.28,60.72,100.0,5.0
231769,2023-02,1,0.31,3.0,2,2,72.71,0.0,0.0,3.0
231769,2023-03,1,0.12,1.0,1,1,0.0,100.0,0.0,1.0
231769,2023-04,2,3.29,28.0,6,5,27.12,72.88,13.79,14.0
231769,2023-05,1,1.91,16.0,2,2,5.93,94.07,0.0,16.0
231769,2023-06,1,0.81,7.0,4,2,41.96,58.04,85.21,7.0
231769,2023-07,2,2.14,18.0,4,4,4.6,95.4,0.0,9.0
231769,2023-08,2,3.8,32.0,3,2,17.93,82.07,21.01,16.0
231769,2023-09,2,3.42,30.0,8,7,54.61,45.39,52.03,15.0
231769,2023-10,2,3.07,27.0,7,5,33.77,66.23,37.7,13.5
235701,2022-11,2,0.33,12.0,3,3,100.0,0.0,0.0,6.0
235701,2022-12,1,0.13,5.0,2,2,100.0,0.0,0.0,5.0
235701,2023-01,1,0.24,6.0,4,4,100.0,0.0,10.08,6.0
235701,2023-02,1,0.25,6.0,3,3,100.0,0.0,0.0,6.0
235701,2023-03,2,0.33,12.0,3,3,100.0,0.0,0.0,6.0
235701,2023-04,4,0.67,18.0,7,5,64.35,35.65,8.43,4.5
235701,2023-06,2,0.36,13.0,5,5,100.0,0.0,7.89,6.5
235701,2023-07,3,0.37,7.0,3,3,100.0,0.0,0.0,2.33
235701,2023-08,2,0.25,9.0,3,3,100.0,0.0,0.0,4.5
235701,2023-09,4,0.7,10.5,3,2,40.32,59.68,0.0,2.63
235701,2023-10,2,0.28,10.0,5,4,100.0,0.0,8.79,5.0
235937,2022-11,5,3.61,41.0,9,4,15.69,83.13,5.97,8.2
235937,2022-12,5,3.2,40.0,9,5,28.7,71.3,2.31,8.0
235937,2023-01,8,4.57,44.0,9,5,37.03,62.97,5.79,5.5
235937,2023-02,6,4.71,50.0,9,5,16.01,83.99,2.25,8.33
235937,2023-03,6,4.25,46.0,10,6,21.05,78.95,2.75,7.67
235937,2023-04,5,2.93,28.42,7,4,12.34,87.66,4.0,5.68
235937,2023-05,4,2.33,20.33,7,4,72.5,27.5,4.23,5.08
235937,2023-06,6,1.79,18.0,9,6,10.58,87.04,8.13,3.0
235937,2023-07,5,1.75,27.0,9,6,24.47,75.53,6.06,5.4
235937,2023-08,6,2.79,41.0,9,6,26.96,73.04,1.9,6.83
235937,2023-09,7,3.87,40.0,9,6,10.17,89.83,4.39,5.71
235937,2023-10,6,3.57,42.0,7,4,12.73,87.27,6.56,7.0
238571,2022-11,5,8.54,79.0,12,6,29.86,68.22,1.92,15.8
238571,2022-12,8,9.94,91.0,12,6,34.54,64.6,3.75,11.38
238571,2023-01,8,9.11,96.0,13,6,22.09,76.11,1.8,12.0
238571,2023-02,6,7.85,77.0,14,8,33.02,65.97,6.88,12.83
238571,2023-03,4,5.77,51.0,10,8,10.27,86.77,4.98,12.75
238571,2023-04,4,4.43,39.0,8,5,23.06,75.02,7.13,9.75
238571,2023-05,4,5.41,49.0,9,5,16.8,83.2,2.1,12.25
238571,2023-06,5,3.97,36.0,9,6,8.59,84.97,9.31,7.2
238571,2023-07,6,3.44,33.0,7,5,11.54,88.46,6.79,5.5
238571,2023-08,9,5.06,46.0,6,4,0.0,100.0,0.0,5.11
238571,2023-09,6,4.53,41.0,6,4,0.0,100.0,2.58,6.83
238571,2023-10,7,6.29,57.0,7,5,0.45,99.55,0.0,8.14
239789,2022-11,3,1.93,19.0,9,7,2.74,97.26,13.38,6.33
239789,2022-12,2,2.04,21.0,4,3,5.57,94.43,5.57,10.5
239789,2023-01,1,0.55,6.0,5,3,41.02,58.98,0.0,6.0
239789,2023-02,1,0.56,11.0,5,3,27.06,72.94,20.29,11.0
239789,2023-03,1,0.49,6.0,3,3,0.0,100.0,0.0,6.0
239789,2023-05,2,3.29,33.0,9,6,11.2,88.8,8.06,16.5
239789,2023-06,1,0.41,5.0,2,2,0.0,100.0,0.0,5.0
239789,2023-07,1,0.41,5.0,2,2,0.0,100.0,0.0,5.0
239789,2023-08,1,0.4,7.0,3,3,18.82,81.18,14.12,7.0
239789,2023-09,3,1.15,17.0,12,6,16.89,68.86,66.79,5.67
239789,2023-10,2,0.85,9.0,4,4,0.0,75.78,37.68,4.5
244993,2022-11,4,4.86,61.0,17,7,46.61,48.25,14.75,15.25
244993,2022-12,6,5.77,66.0,16,7,50.71,44.72,18.21,11.0
244993,2023-01,7,4.51,52.0,15,7,38.0,57.35,12.41,7.43
244993,2023-02,6,4.36,49.17,13,6,41.39,53.34,11.83,8.19
244993,2023-03,7,4.49,52.0,14,7,38.61,59.49,6.99,7.43
244993,2023-04,7,3.28,38.0,14,7,23.84,70.35,13.59,5.43
244993,2023-05,5,4.47,49.0,11,5,30.88,63.4,9.92,9.8
244993,2023-06,8,5.02,59.0,12,6,33.55,63.06,8.11,7.38
244993,2023-07,8,3.21,43.0,12,6,31.55,63.14,15.34,5.38
244993,2023-08,7,4.16,52.0,15,7,29.98,65.11,19.21,7.43
244993,2023-09,8,4.21,52.0,13,6,31.44,64.51,11.28,6.5
244993,2023-10,8,6.19,70.0,15,7,38.71,51.53,22.0,8.75
247633,2022-11,2,0.87,8.0,3,3,3.27,96.73,3.27,4.0
247633,2022-12,2,1.11,10.0,3,3,2.56,97.44,2.56,5.0
247633,2023-01,2,0.98,9.0,3,3,2.5,97.5,2.5,4.5
247633,2023-02,3,1.14,12.0,4,4,5.47,94.53,2.15,4.0
247633,2023-03,3,1.82,16.0,4,4,1.04,98.96,0.0,5.33
247633,2023-04,2,0.86,8.0,3,3,2.85,97.15,2.85,4.0
247633,2023-05,1,0.84,7.0,2,2,0.0,100.0,0.0,7.0
247633,2023-06,1,0.36,3.0,2,2,0.0,100.0,0.0,3.0
247633,2023-07,1,0.38,4.0,3,3,4.99,95.01,0.0,4.0
247633,2023-08,3,0.98,9.0,3,3,1.93,98.07,0.0,3.0
247633,2023-09,3,1.08,9.0,2,2,0.0,100.0,0.0,3.0
247633,2023-10,1,0.39,3.25,2,2,0.0,100.0,0.0,3.25
248141,2022-11,2,1.07,10.0,7,5,33.04,66.96,13.58,5.0
248141,2022-12,2,1.66,21.0,6,4,27.7,72.3,5.13,10.5
248141,2023-02,1,0.33,3.0,3,3,100.0,0.0,0.0,3.0
248141,2023-03,1,0.18,3.0,2,2,32.11,67.89,0.0,3.0
248141,2023-04,1,0.47,4.0,3,3,23.97,76.03,0.0,4.0
248141,2023-05,1,0.66,7.0,3,3,8.64,91.36,0.0,7.0
248141,2023-06,2,0.65,10.0,5,4,26.19,73.81,0.0,5.0
248141,2023-07,1,0.28,7.0,3,3,100.0,0.0,0.0,7.0
248141,2023-08,1,0.71,6.0,2,1,15.91,84.09,0.0,6.0
248141,2023-09,1,0.84,7.0,4,4,0.0,100.0,13.98,7.0
248141,2023-10,1,0.82,7.0,4,3,41.5,58.5,0.0,7.0
248185,2022-11,3,0.63,6.0,3,3,4.52,95.48,4.52,2.0
248185,2022-12,2,0.48,4.0,2,2,0.0,100.0,0.0,2.0
248185,2023-01,2,0.51,5.0,3,3,5.58,94.42,0.0,2.5
248185,2023-02,1,0.24,2.0,1,1,0.0,100.0,0.0,2.0
248185,2023-03,1,0.6,5.0,2,2,0.0,100.0,19.6,5.0
248185,2023-04,2,0.37,4.0,3,3,0.0,88.01,11.99,2.0
248185,2023-05,2,0.56,5.0,3,3,0.0,100.0,0.0,2.5
248185,2023-07,1,0.25,2.08,2,2,0.0,100.0,0.0,2.08
248185,2023-08,2,0.61,5.08,2,2,0.0,100.0,0.0,2.54
248185,2023-09,1,0.14,1.17,2,2,0.0,100.0,0.0,1.17
248185,2023-10,3,0.62,5.17,4,3,0.0,100.0,0.0,1.72
248587,2022-12,1,0.54,6.0,2,2,10.57,89.43,0.0,6.0
248587,2023-01,1,0.24,2.0,1,1,0.0,100.0,0.0,2.0
248587,2023-02,1,0.33,4.0,1,1,0.0,100.0,0.0,4.0
248587,2023-04,1,0.22,4.08,2,2,39.57,60.43,0.0,4.08
248587,2023-08,1,0.13,1.08,2,2,0.0,100.0,0.0,1.08
248587,2023-09,2,0.52,4.33,3,2,0.0,100.0,0.0,2.17
248587,2023-10,1,0.28,2.33,1,1,0.0,100.0,0.0,2.33
248745,2022-11,1,0.24,2.0,2,2,0.0,100.0,0.0,2.0
248745,2022-12,1,0.36,3.0,2,2,0.0,100.0,0.0,3.0
248745,2023-01,1,0.12,1.0,1,1,0.0,100.0,0.0,1.0
248745,2023-04,1,0.24,2.0,1,1,0.0,100.0,0.0,2.0
248745,2023-05,1,0.15,2.0,2,1,19.13,80.87,0.0,2.0
248745,2023-06,1,0.27,3.0,2,2,10.57,89.43,0.0,3.0
248745,2023-08,2,0.37,3.08,2,2,0.0,100.0,0.0,1.54
248745,2023-09,2,0.38,4.0,3,2,6.4,93.6,0.0,2.0
248901,2022-11,1,0.48,4.0,2,2,0.0,100.0,0.0,4.0
248901,2022-12,4,1.65,14.0,4,2,27.45,72.55,0.0,3.5
248901,2023-03,2,0.83,7.0,4,3,13.62,86.38,0.0,3.5
248901,2023-04,1,0.03,1.0,1,1,100.0,0.0,0.0,1.0
248901,2023-05,1,0.91,7.58,4,4,0.0,100.0,7.69,7.58
248901,2023-06,2,0.82,10.0,5,3,41.5,58.5,0.0,5.0
